muestra,tiempo,ppg,ppg filtrado,spi,spi_promedio,estado,tipo evento,evento
272,10.88,-1437226,583.8815223297229,85,-,basal,-,-
273,10.92,-1438463,1019.6048964172951,85,-,basal,-,-
274,10.96,-1439236,1327.2569331468262,85,-,basal,-,-
275,11.0,-1439934,1204.2681127129213,85,-,basal,-,-
276,11.04,-1440497,592.1647212627836,85,-,basal,-,-
277,11.08,-1441282,-134.63505347864702,85,-,basal,-,-
278,11.12,-1442181,-527.0296993590507,85,-,basal,-,-
279,11.16,-1442460,-513.1880569883778,85,-,basal,-,-
280,11.2,-1443013,-332.30136688247626,85,-,basal,-,-
281,11.24,-1443135,-282.8124933634558,85,-,basal,-,-
282,11.28,-1443722,-378.7173006673054,85,-,basal,-,-
283,11.32,-1444547,-490.9789128606127,85,-,basal,-,-
284,11.36,-1438765,-704.249017169489,85,-,basal,-,-
285,11.4,-1433161,-781.1351970529349,85,-,basal,-,-
286,11.44,-1433974,-588.2683150946068,85,-,basal,-,-
287,11.48,-1435690,-356.1444831826507,85,-,basal,-,-
288,11.52,-1435976,-160.04229652814473,85,-,basal,-,-
289,11.56,-1435490,27.3888037091956,85,-,basal,-,-
290,11.6,-1435714,234.81524169852628,85,-,basal,-,-
291,11.64,-1436410,455.24582752693755,85,-,basal,-,-
292,11.68,-1437095,728.0439437398427,85,-,basal,-,-
293,11.72,-1437784,1065.4425046921474,85,-,basal,-,-
294,11.76,-1438201,1278.5233433384178,85,-,basal,-,-
295,11.8,-1439303,1109.8305055974288,85,-,basal,-,-
296,11.84,-1440235,493.93601291652885,85,-,basal,-,-
297,11.88,-1440471,-212.71152434031978,85,-,basal,-,-
298,11.92,-1440755,-571.589602872477,85,-,basal,-,-
299,11.96,-1441261,-554.5494557093169,85,-,basal,-,-
300,12.0,-1442229,-433.98039475591986,87,86.75,basal,-,-
301,12.04,-1440372,-502.7952874460591,87,-,basal,-,-
302,12.08,-1433390,-783.4969046744554,87,-,basal,-,-
303,12.12,-1432262,-805.6246420789721,87,-,basal,-,-
304,12.16,-1434013,-635.0722963937696,87,-,basal,-,-
305,12.2,-1434838,-429.846294099092,87,-,basal,-,-
306,12.24,-1435138,-208.79099543929897,87,-,basal,-,-
307,12.28,-1435766,30.93367269736177,87,-,basal,-,-
308,12.32,-1435310,224.45110601290958,87,-,basal,-,-
309,12.36,-1435269,445.3039338852234,87,-,basal,-,-
310,12.4,-1435874,749.8775318576588,87,-,basal,-,-
311,12.44,-1436531,1048.80332641732,87,-,basal,-,-
312,12.48,-1437613,1105.6469611497032,87,-,basal,-,-
313,12.52,-1438719,724.1888515151461,87,-,basal,-,-
314,12.56,-1439242,67.24073129134013,87,-,basal,-,-
315,12.6,-1439573,-425.730492242905,87,-,basal,-,-
316,12.64,-1440651,-499.8922385930865,87,-,basal,-,-
317,12.68,-1441176,-346.99516729789724,87,-,basal,-,-
318,12.72,-1441767,-214.43055795666905,87,-,basal,-,-
319,12.76,-1432827,-520.9693107854937,87,-,induccion,-,-
320,12.8,-1435802,-516.819874024497,87,-,induccion,-,-
321,12.84,-1437001,-531.7891439805285,87,-,induccion,-,-
322,12.88,-1437459,-467.33429006432544,87,-,induccion,-,-
323,12.92,-1438156,-298.0182976926219,87,-,induccion,-,-
324,12.96,-1438535,-101.88881750936355,87,-,induccion,-,-
325,13.0,-1439012,83.206638114891,87,-,induccion,-,-
326,13.04,-1439921,286.88756867344875,87,-,induccion,-,-
327,13.08,-1440594,541.6784714398887,87,-,induccion,-,-
328,13.12,-1441175,792.2995155610686,87,-,induccion,-,-
329,13.16,-1441186,797.5110412152901,87,-,induccion,-,-
330,13.2,-1434462,216.805740572775,87,-,induccion,-,-
331,13.24,-1430172,-441.76470454442915,87,-,induccion,-,-
332,13.28,-1431354,-690.0462430048228,87,-,induccion,-,-
333,13.32,-1432620,-571.4160706579056,87,-,induccion,-,-
334,13.36,-1432587,-328.6955626196775,87,-,induccion,-,-
335,13.4,-1432928,-121.84800991371912,87,-,induccion,-,-
336,13.44,-1432936,5.922953999823676,87,-,induccion,-,-
337,13.48,-1433108,186.2670949020005,87,-,induccion,-,-
338,13.52,-1433324,511.20138769859864,87,-,induccion,-,-
339,13.56,-1433963,926.6418645484368,87,-,induccion,-,-
340,13.6,-1434499,1146.573213830447,87,-,induccion,-,-
341,13.64,-1435689,921.6273547148139,87,-,induccion,-,-
342,13.68,-1436113,265.95031477114003,87,-,induccion,-,-
343,13.72,-1436391,-379.3839507355907,87,-,induccion,-,-
344,13.76,-1437677,-616.0096109853298,87,-,induccion,-,-
345,13.8,-1437851,-547.0608710810322,87,-,induccion,-,-
346,13.84,-1438655,-389.0336208483243,87,-,induccion,-,-
347,13.88,-1439538,-330.9195693186876,87,-,induccion,-,-
348,13.92,-1439720,-379.0897964466259,87,-,induccion,-,-
349,13.96,-1432633,-655.0442085743325,87,-,induccion,-,-
350,14.0,-1428953,-755.1922586347382,87,-,induccion,-,-
